Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,combineId,playerId,combineYear,combineHeight,combineWeight,collegeId,nflId,heightInches,weight,ageAtDraft,team_wins,team_losses,team_win_loss_perc,team_points,team_points_opp,team_points_diff,team_g,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_score_pct,team_turnover_pct,team_exp_pts_tot
Justin McCareins,Colts,28.0,16.0,3.0,102.0,68.0,1077.0,15.8,10.0,54.0,61.8,69.0,10.6,4.3,67.3,1.0,2004.0,14751.0,20010124.0,2001.0,73.8,209.0,60115.0,2504635.0,74.0,215.0,22.4027397260274,12.0,4.0,0.75,447.0,336.0,111.0,16.0,5874.0,1041.0,5.6,20.0,10.0,348.0,381.0,569.0,4179.0,29.0,10.0,7.1,212.0,453.0,1695.0,16.0,3.7,104.0,92.0,662.0,32.0,46.3,10.2,-13.96
Dennis Northcutt,Raiders,26.0,16.0,16.0,136.0,64.0,998.0,15.6,9.0,47.0,41.2,52.0,7.3,4.0,62.4,2.0,2004.0,14522.0,20000032.0,2000.0,70.4,175.0,85721.0,2504261.0,71.0,172.0,22.328767123287676,4.0,12.0,0.25,270.0,379.0,-109.0,16.0,4573.0,987.0,4.6,26.0,12.0,258.0,278.0,521.0,2751.0,9.0,14.0,4.9,140.0,423.0,1822.0,15.0,4.3,98.0,134.0,1120.0,20.0,24.3,12.2,-190.11
Amani Toomer,Cardinals,21.0,16.0,16.0,115.0,58.0,780.0,13.4,8.0,37.0,39.1,48.0,6.8,3.6,48.8,1.0,2004.0,13317.0,19960034.0,1996.0,74.9,197.0,48109.0,2503377.0,75.0,203.0,21.63013698630137,4.0,12.0,0.25,225.0,452.0,-227.0,16.0,4490.0,981.0,4.6,36.0,14.0,256.0,303.0,534.0,2959.0,18.0,22.0,5.1,147.0,403.0,1531.0,5.0,3.8,80.0,98.0,761.0,29.0,22.2,18.4,-250.75
Ronald Curry,Cardinals,24.0,10.0,9.0,104.0,56.0,623.0,11.1,1.0,34.0,47.1,31.0,6.0,5.6,62.3,1.0,2004.0,14927.0,20020235.0,2002.0,73.9,220.0,27599.0,2505200.0,74.0,210.0,22.912328767123288,4.0,12.0,0.25,225.0,452.0,-227.0,16.0,4490.0,981.0,4.6,36.0,14.0,256.0,303.0,534.0,2959.0,18.0,22.0,5.1,147.0,403.0,1531.0,5.0,3.8,80.0,98.0,761.0,29.0,22.2,18.4,-250.75
Troy Edwards,Patriots,24.0,15.0,12.0,106.0,56.0,874.0,15.6,3.0,47.0,49.1,50.0,8.2,3.7,58.3,0.0,2004.0,14058.0,19990013.0,1999.0,69.5,191.0,71272.0,2500520.0,70.0,195.0,22.04109589041096,14.0,2.0,0.875,348.0,238.0,110.0,16.0,5039.0,1042.0,4.8,24.0,11.0,294.0,320.0,537.0,3432.0,23.0,13.0,6.0,177.0,473.0,1607.0,9.0,3.4,91.0,111.0,998.0,26.0,27.9,11.3,-136.51
Randy Moss,Chiefs,33.0,13.0,12.0,79.0,55.0,795.0,14.5,3.0,38.0,59.5,52.0,10.1,4.2,61.2,2.0,2004.0,13847.0,19980021.0,1998.0,75.6,194.0,25755.0,2502220.0,76.0,210.0,21.18904109589041,13.0,3.0,0.813,484.0,332.0,152.0,16.0,5910.0,1003.0,5.9,18.0,6.0,348.0,339.0,536.0,3981.0,24.0,12.0,7.1,201.0,446.0,1929.0,32.0,4.3,120.0,79.0,698.0,27.0,38.3,8.5,36.78
Lee Evans,Browns,27.0,16.0,11.0,94.0,55.0,806.0,14.7,2.0,25.0,40.4,58.0,8.6,3.4,50.4,2.0,2004.0,15474.0,20040013.0,2004.0,70.9,197.0,53706.0,2506097.0,72.0,210.0,23.136986301369863,5.0,11.0,0.313,254.0,322.0,-68.0,16.0,4504.0,961.0,4.7,33.0,15.0,276.0,313.0,509.0,2834.0,17.0,18.0,5.2,153.0,412.0,1670.0,8.0,4.1,91.0,98.0,767.0,32.0,26.7,17.2,-191.88
Santana Moss,Commanders,27.0,16.0,14.0,106.0,51.0,650.0,12.7,5.0,30.0,39.6,51.0,6.1,3.2,40.6,0.0,2004.0,14769.0,20010016.0,2001.0,69.6,184.0,33124.0,2504743.0,70.0,189.0,21.90410958904109,5.0,11.0,0.313,287.0,372.0,-85.0,16.0,4659.0,991.0,4.7,28.0,12.0,272.0,283.0,527.0,3006.0,21.0,16.0,5.3,156.0,421.0,1653.0,8.0,3.9,95.0,124.0,1038.0,21.0,28.3,13.6,-182.25
Brandon Lloyd,Dolphins,28.0,15.0,15.0,105.0,50.0,638.0,12.8,1.0,30.0,39.0,45.0,6.1,3.3,42.5,0.0,2004.0,15269.0,20030124.0,2003.0,72.1,184.0,61801.0,2505600.0,72.0,200.0,21.82191780821918,10.0,6.0,0.625,311.0,261.0,50.0,16.0,4609.0,968.0,4.8,34.0,15.0,266.0,257.0,450.0,2792.0,17.0,19.0,5.8,145.0,487.0,1817.0,14.0,3.7,99.0,103.0,913.0,22.0,28.1,17.2,-177.92
Antwaan Randle El,Raiders,25.0,12.0,3.0,70.0,50.0,679.0,13.6,6.0,32.0,64.3,63.0,9.7,4.2,56.6,1.0,2004.0,14943.0,20020062.0,2002.0,69.6,191.0,47405.0,2505060.0,70.0,185.0,22.69041095890411,4.0,12.0,0.25,270.0,379.0,-109.0,16.0,4573.0,987.0,4.6,26.0,12.0,258.0,278.0,521.0,2751.0,9.0,14.0,4.9,140.0,423.0,1822.0,15.0,4.3,98.0,134.0,1120.0,20.0,24.3,12.2,-190.11
